10000 10000
8260 8792 1
4146 1190 0
199 8351 1
5343 6481 0
9610 2848 1
8193 7829 0
7623 436 1
4746 8968 0
6305 5839 1
992 7871 0
2673 839 1
203 7678 0
1621 4732 1
2936 9900 0
4692 8849 1
7140 7397 0
6772 6479 1
9353 8305 0
7372 9198 1
6202 3596 0
1914 9032 1
7516 8160 0
8645 4730 1
4065 4644 0
5 2879 1
6619 2271 0
4623 2121 1
3563 1013 0
9065 8131 1
6579 2816 0
6447 8175 1
6746 8771 0
3343 8279 1
9055 2317 0
9817 1937 1
7854 5245 0
1085 4239 1
6000 2573 0
4670 8530 1
3377 5357 0
2151 984 1
9009 3253 0
4636 9639 1
1071 8372 0
3037 4645 1
7726 4853 0
8474 545 1
4373 5038 0
9483 4641 1
6544 5869 0
9398 7432 1
2712 9799 0
7780 2265 1
7868 7043 0
7388 1474 1
451 9808 0
8868 9441 1
6253 2821 0
8778 6554 1
6273 3657 0
8269 2678 1
5189 5147 0
5093 328 1
8112 515 0
6540 8597 1
5380 2600 0
6883 853 1
5965 3207 0
7587 585 1
9397 3442 0
4139 8639 1
6692 432 0
9383 2879 1
8966 1275 0
186 9637 1
8927 6210 0
9692 7611 1
1990 4749 0
3615 9955 1
1686 6518 0
6569 3856 1
9458 9062 0
7992 6745 1
8560 767 0
2362 6092 1
58 5069 0
6105 1624 1
5510 2875 0
5055 4684 1
9717 8660 0
42 82 1
525 2322 0
7381 1543 1
1736 5089 0
9700 4132 1
982 2817 0
5750 4893 1
4314 586 0
1131 9122 1
204 4776 0
5947 5305 1
7047 8136 0
2544 5871 1
2645 8570 0
6335 6291 1
1687 2089 0
436 6794 1
7278 8841 0
2342 7629 1
4125 4043 0
9659 6652 1
8626 7803 0
8190 8008 1
9585 3058 0
6988 3717 1
1506 179 0
8393 9718 1
4892 7094 0
2276 8848 1
5580 6408 0
2175 8265 1
7826 6045 0
1414 8519 1
4325 5090 0
1762 411 1
940 9449 0
8604 2177 1
1223 2965 0
4061 3225 1
3228 6982 0
897 8353 1
4964 1291 0
6476 2676 1
4065 65 0
9523 4149 1
5194 7848 0
7100 563 1
5465 7738 0
3949 751 1
6275 5697 0
4282 6101 1
1809 4473 0
716 113 1
8129 3834 0
3370 6954 1
7390 3341 0
2921 5581 1
661 3226 0
9458 7651 1
7888 470 0
4764 8005 1
8555 7028 0
8557 830 1
7217 5137 0
4663 1335 1
6473 5275 0
1412 4134 1
2035 2232 0
7454 2502 1
2705 5320 0
7218 5772 1
3916 8316 0
3382 1809 1
2212 9046 0
7216 1169 1
240 9963 0
1831 9306 1
4014 7864 0
1884 4503 1
6480 1753 0
3250 6605 1
4024 5089 0
840 8855 1
5490 8502 0
8455 2253 1
7702 3721 0
9961 2709 1
5737 5553 0
3859 9628 1
7344 270 0
1175 32 1
8211 6765 0
8645 3702 1
7187 5849 0
7716 4907 1
1307 9579 0
7558 7891 1
2545 2737 0
1960 5566 1
7042 8896 0
9964 6329 1
4287 1569 0
5340 7204 1
6916 6545 0
4235 1420 1
7325 7319 0
6074 8667 1
7337 4482 0
4350 1264 1
5671 4485 0
9377 6935 1
6568 8374 0
828 4136 1
7662 7720 0
814 2122 1
9649 1151 0
3592 9006 1
5745 1832 0
3647 3077 1
6256 7354 0
6139 7853 1
9805 3093 0
4071 9967 1
6460 4483 0
9678 6925 1
6706 9891 0
5589 7444 1
5636 2326 0
9298 5149 1
7686 7703 0
1278 7693 1
2844 2288 0
1319 2148 1
9912 1766 0
1078 5920 1
1710 8808 0
6782 6317 1
4645 9236 0
4074 568 1
2004 7445 0
352 9096 1
5786 7995 0
9729 3291 1
1015 9401 0
8849 6928 1
7315 6789 0
5173 6775 1
9059 8896 0
5571 6811 1
4923 3514 0
5984 7633 1
8624 6043 0
7688 9852 1
9695 908 0
9117 694 1
8566 7835 0
7388 7529 1
4287 7007 0
6078 6020 1
1518 7781 0
318 4591 1
9499 8612 0
8384 2682 1
4319 6732 0
8258 7301 1
6371 7718 0
9941 6608 1
404 8731 0
7098 8962 1
17 6070 0
5931 9275 1
3517 5261 0
681 8938 1
1645 4094 0
8347 3089 1
6722 998 0
4938 8057 1
3724 3636 0
8253 995 1
9465 4076 0
5999 993 1
9634 7667 0
7563 2951 1
2223 3988 0
3407 612 1
3179 8960 0
5119 5524 1
4661 6412 0
7777 3613 1
9446 7022 0
2594 472 1
5116 5604 0
2344 3454 1
4424 4311 0
5860 181 1
4274 5727 0
7384 2723 1
6595 1432 0
1040 7679 1
8004 650 0
7091 9290 1
9666 4409 0
1805 5350 1
8329 6408 0
9815 5421 1
92 9679 0
9824 5385 1
7468 9728 0
7943 4075 1
2259 4961 0
3739 2185 1
9078 6338 0
7287 2594 1
6158 9750 0
9216 3289 1
9272 5873 0
5417 9303 1
6011 8935 0
7713 5210 1
991 2204 0
292 5666 1
3053 3624 0
350 5338 1
6739 4570 0
635 5254 1
3426 5347 0
8429 6431 1
492 5430 0
9412 9677 1
3743 7743 0
7745 1331 1
9150 6791 0
9951 5698 1
2912 536 0
8718 9344 1
352 5670 0
7363 2244 1
2466 8218 0
6381 4791 1
2567 4180 0
6232 3620 1
4630 7358 0
7480 9758 1
696 9837 0
2440 8734 1
2608 6885 0
263 3873 1
8119 2484 0
1122 3235 1
5161 9871 0
3382 3025 1
4539 5792 0
2761 8422 1
1718 3828 0
982 9326 1
1438 1823 0
5036 8779 1
8991 3603 0
7699 1471 1
6803 8559 0
4370 447 1
1572 6243 0
5112 2656 1
473 7626 0
5208 8457 1
5635 5329 0
7330 9555 1
8482 9899 0
1688 6339 1
4135 3298 0
2749 3779 1
5099 1682 0
8379 4777 1
9222 1274 0
4672 5170 1
6404 6427 0
1577 3429 1
181 969 0
4271 6395 1
6195 3639 0
8056 7138 1
8220 456 0
6230 8862 1
2408 8106 0
4455 6812 1
227 9926 0
1301 1795 1
8971 989 0
1229 6543 1
2963 2230 0
2865 3476 1
2628 1270 0
7231 8439 1
9057 4497 0
9077 7118 1
2749 3672 0
6706 6931 1
6920 2797 0
2749 9364 1
9954 7969 0
7162 3464 1
2303 3298 0
6066 5837 1
9435 3040 0
8932 4507 1
215 5108 0
8495 460 1
7602 6522 0
5613 7351 1
7217 1850 0
4197 6744 1
9867 8553 0
940 2457 1
2268 178 0
3958 6400 1
4877 34 0
2159 607 1
3172 6108 0
594 5707 1
9995 3247 0
2538 4252 1
8991 7306 0
3728 1698 1
3955 4497 0
2019 9338 1
9074 9153 0
240 6169 1
5453 4471 0
3477 1692 1
6758 1662 0
4902 1282 1
6447 1432 0
3708 898 1
9563 1137 0
9950 5855 1
6842 6485 0
1019 3448 1
1402 2684 0
9052 2976 1
3095 7910 0
8975 4871 1
3501 7361 0
2656 2221 1
1005 6962 0
5779 3963 1
4810 8328 0
5557 3545 1
2876 1644 0
9497 216 1
8393 1558 0
1508 5541 1
3830 2821 0
4635 4656 1
2202 6707 0
8697 9577 1
2851 3752 0
5102 3219 1
8261 2297 0
4787 7064 1
572 5046 0
6731 3544 1
9901 3748 0
4972 875 1
4705 3738 0
7854 9096 1
3503 2131 0
279 3682 1
8859 3147 0
8767 6292 1
7958 3335 0
2447 1491 1
434 1614 0
1646 1065 1
414 4844 0
2569 8573 1
9772 2449 0
8191 6264 1
285 6727 0
45 676 1
6157 8045 0
4172 3324 1
5182 8619 0
3689 451 1
5633 4044 0
6783 7830 1
4540 6007 0
3526 3233 1
4705 3497 0
8686 6677 1
629 2227 0
3167 1315 1
4932 4001 0
5441 5454 1
5390 2252 0
3195 7817 1
7231 7433 0
6272 7348 1
19 1418 0
1627 8843 1
9670 9719 0
2709 7919 1
5939 4631 0
1079 6920 1
9002 5125 0
5383 6182 1
6916 8751 0
7608 6134 1
635 8615 0
8121 2193 1
7322 3345 0
534 7679 1
8119 3834 0
9760 9691 1
9380 1498 0
1896 420 1
7000 2194 0
3343 222 1
9794 38 0
9299 3766 1
6143 8633 0
2454 6250 1
5791 6838 0
6363 5117 1
6741 7043 0
5283 6048 1
4505 7887 0
9805 5691 1
1028 6350 0
749 3839 1
1844 211 0
3020 4883 1
7325 9317 0
314 408 1
5998 5462 0
1001 8128 1
5506 2243 0
6574 3421 1
4346 94 0
8255 9921 1
1807 6704 0
4746 931 1
1486 3995 0
6926 8052 1
1233 3866 0
587 1574 1
7116 1291 0
2367 8319 1
7900 4453 0
7388 310 1
829 8215 0
4680 9459 1
6387 2837 0
1819 7228 1
4952 6971 0
6036 1492 1
644 1179 0
1795 1692 1
8006 2889 0
8606 8266 1
715 4821 0
1336 1750 1
1593 7362 0
6667 2779 1
4723 3070 0
8278 2901 1
5340 8574 0
2921 543 1
4458 650 0
1801 7227 1
1491 5689 0
2739 8779 1
8620 3635 0
5008 3830 1
7862 4599 0
4472 7218 1
7888 1798 0
7020 4177 1
446 265 0
2443 6162 1
8882 5110 0
970 4670 1
7092 3071 0
9749 7222 1
1439 5332 0
8527 3061 1
6258 7107 0
8850 8231 1
2831 978 0
9198 5240 1
4958 1644 0
5693 224 1
9231 2991 0
5983 1038 1
2402 2028 0
181 1555 1
4445 7913 0
7909 2280 1
1544 6306 0
332 4757 1
3957 9388 0
7441 606 1
624 5077 0
6840 5713 1
8783 6354 0
2296 324 1
517 5101 0
5674 3872 1
8459 1504 0
2004 3968 1
1231 1221 0
3092 6513 1
32 5278 0
2358 6138 1
1421 899 0
3859 983 1
2353 8385 0
2341 7572 1
4149 8331 0
3338 9729 1
8745 2869 0
2103 7686 1
2642 5675 0
4300 7422 1
1626 603 0
2828 9169 1
7074 225 0
1563 6805 1
2386 3424 0
5378 6587 1
2951 3763 0
2171 348 1
9199 2875 0
9340 1441 1
5937 8907 0
1727 9978 1
5517 4839 0
8167 5383 1
9019 1586 0
5273 4579 1
3839 346 0
876 887 1
1389 7997 0
4964 9656 1
2472 852 0
7971 1213 1
1464 4418 0
4339 428 1
7697 8896 0
8575 3916 1
2368 6313 0
2736 6557 1
6718 2093 0
6213 6611 1
4172 5752 0
7862 6171 1
6185 4795 0
1654 4698 1
1198 3226 0
387 5647 1
5088 8176 0
8627 1840 1
8399 8095 0
5880 1224 1
1353 52 0
3238 5489 1
7652 3149 0
5182 4779 1
8767 2324 0
5779 7779 1
1201 1184 0
360 9439 1
8934 9771 0
5520 513 1
7991 7125 0
3184 8428 1
3698 9236 0
5102 9692 1
8286 5085 0
2450 2639 1
3724 4482 0
6931 2332 1
6699 3270 0
205 4077 1
6431 9660 0
4557 1036 1
9811 5186 0
1925 9691 1
684 3818 0
8875 5080 1
5661 8726 0
3171 3038 1
1931 9655 0
9067 14 1
3590 5386 0
9542 1381 1
4840 6994 0
400 375 1
6208 477 0
4578 1812 1
2498 6777 0
3146 9186 1
5434 5147 0
7487 1316 1
8759 8352 0
7804 5653 1
1350 3001 0
9540 8075 1
5298 7358 0
4010 7739 1
2201 4762 0
2630 2151 1
747 1933 0
9305 7975 1
7808 8748 0
5421 1340 1
7290 1706 0
9000 51 1
3072 783 0
4437 8373 1
1458 7796 0
5569 4347 1
8815 8087 0
4377 8969 1
5317 7703 0
2860 4188 1
9880 7915 0
5573 7228 1
2559 5668 0
6995 6537 1
2161 9145 0
1473 5674 1
475 3920 0
8448 2697 1
9497 4118 0
7895 2584 1
4968 8765 0
963 3378 1
3733 3372 0
2568 8347 1
1174 9705 0
1842 2901 1
2418 3063 0
4013 5949 1
3211 9311 0
4507 3271 1
5855 232 0
3359 2182 1
4053 2024 0
898 7056 1
1946 4781 0
4842 8629 1
8361 6322 0
1716 2656 1
1025 3570 0
5353 3863 1
5213 8959 0
9870 4012 1
802 7007 0
9558 3085 1
5378 9526 0
1878 4247 1
1346 9963 0
752 3948 1
6871 3298 0
4000 3145 1
3551 7026 0
3846 9564 1
7245 9388 0
5549 7948 1
3109 9431 0
6032 4369 1
5111 899 0
9908 1129 1
9985 2540 0
6276 5763 1
437 1832 0
9382 1809 1
7724 6466 0
8941 9033 1
4264 2614 0
9527 9292 1
686 2204 0
287 8479 1
8736 3604 0
7178 9186 1
6074 1872 0
9550 8363 1
9324 7367 0
3782 5380 1
7521 3760 0
2787 7182 1
5763 5637 0
3276 291 1
5673 5843 0
8668 294 1
7162 34 0
9937 2901 1
2530 1702 0
7468 1470 1
7613 5077 0
5671 5601 1
9991 1783 0
5098 8153 1
7013 6018 0
7505 4319 1
968 5603 0
5882 6262 1
442 2429 0
2940 3773 1
1906 1521 0
2818 18 1
1041 9690 0
2853 9108 1
3332 1706 0
9274 1019 1
1922 9447 0
9254 3607 1
7731 1127 0
7447 8538 1
7369 8873 0
866 6301 1
2963 9054 0
1543 4156 1
6737 5415 0
1492 7275 1
4319 3335 0
6823 4071 1
8302 5531 0
8433 4982 1
4787 3280 0
5286 26 1
136 6855 0
5877 1513 1
554 8977 0
6240 4992 1
3134 4441 0
3043 7617 1
8069 1313 0
2112 4661 1
9745 9830 0
9892 7862 1
595 5381 0
7501 9548 1
5178 7273 0
4756 2885 1
1701 5367 0
4965 5327 1
7611 5261 0
3463 2156 1
2051 1388 0
3613 4331 1
9323 5716 0
2184 4858 1
779 4356 0
6428 4874 1
7490 4094 0
8079 7919 1
7815 2889 0
4729 8631 1
8950 3279 0
9743 58 1
1836 4783 0
5169 7390 1
3356 4571 0
2922 7919 1
942 4899 0
8424 6795 1
9498 1689 0
3607 5967 1
9752 8243 0
7680 6316 1
3026 6375 0
1646 1670 1
123 6740 0
9977 2969 1
9063 3242 0
4698 9258 1
9867 1371 0
9676 7641 1
630 1738 0
9105 3522 1
1817 1895 0
7722 4978 1
2571 1702 0
5962 9611 1
5611 9683 0
1474 5533 1
4329 25 0
9884 24 1
7486 4411 0
9105 2369 1
1370 3536 0
3948 8914 1
5730 7319 0
1896 3987 1
9353 2722 0
1405 860 1
4370 2479 0
2081 6517 1
8589 710 0
7727 749 1
1865 9101 0
5525 3839 1
8683 1109 0
3591 4791 1
6101 5341 0
5420 5629 1
7054 4590 0
9811 2296 1
1041 4830 0
2259 4905 1
6562 9301 0
2636 6505 1
7808 4709 0
4201 5929 1
5431 3818 0
5445 7980 1
9817 685 0
1585 2643 1
6746 1756 0
7369 7374 1
3829 3808 0
798 2531 1
4455 1431 0
2071 7624 1
3928 1043 0
4635 6510 1
2871 1368 0
4702 2332 1
2939 7504 0
7683 501 1
4012 1215 0
9430 4061 1
273 9822 0
4242 2672 1
6724 9037 0
3513 7275 1
6618 7709 0
5129 3397 1
1154 5787 0
2829 3674 1
7518 8857 0
8761 2099 1
4301 2131 0
842 546 1
3138 2796 0
8323 5133 1
993 1872 0
2066 1359 1
2314 6350 0
8239 4025 1
4363 1382 0
6819 5129 1
142 7036 0
8915 2881 1
92 2077 0
1326 7468 1
9829 8994 0
5711 5766 1
2601 9524 0
5762 2523 1
2263 8502 0
5053 819 1
9545 8880 0
5600 1318 1
3012 5905 0
821 3134 1
489 2869 0
7166 1307 1
2497 3149 0
2877 4004 1
156 5501 0
1865 8544 1
3957 6045 0
9511 9244 1
6840 7859 0
7677 5437 1
6843 1253 0
4252 6695 1
9160 4936 0
8261 3456 1
816 7226 0
5778 6613 1
5303 1128 0
662 8565 1
8891 1348 0
6124 2223 1
9873 5264 0
7517 8228 1
6448 8313 0
9865 8524 1
4671 97 0
5262 1741 1
3722 2226 0
8379 1669 1
5573 9905 0
6735 2121 1
5765 4792 0
3864 7529 1
6209 5361 0
6261 6500 1
2808 8529 0
7281 7116 1
2253 3752 0
5840 1122 1
9714 5617 0
2565 6113 1
7389 2106 0
2623 1901 1
8584 6136 0
3483 6997 1
4271 8765 0
2544 9386 1
6763 1042 0
3779 7336 1
6092 1728 0
2459 6280 1
954 8841 0
7142 9269 1
9193 5849 0
8677 5581 1
3811 2607 0
5433 5378 1
1453 9343 0
8527 5954 1
1098 3749 0
7106 6883 1
7 6024 0
8963 49 1
7540 2028 0
4206 4608 1
9162 1276 0
5821 9404 1
3391 3107 0
3196 5269 1
181 7362 0
1997 1545 1
68 9769 0
8606 344 1
1064 4807 0
7779 227 1
7770 2807 0
6203 5874 1
860 5261 0
4275 6469 1
1 2484 0
5393 7017 1
5083 4867 0
7057 2921 1
458 8298 0
1428 1362 1
7652 8106 0
3677 8947 1
4693 38 0
7027 6675 1
359 3 0
4179 7078 1
9993 4863 0
1688 764 1
5967 9847 0
8717 364 1
9434 7028 0
9398 4898 1
6565 4581 0
9896 8501 1
1630 7926 0
5536 5780 1
102 120 0
1315 1631 1
8924 3603 0
2015 1620 1
9308 9847 0
1161 2683 1
4030 2026 0
2301 6044 1
6053 9526 0
957 7448 1
3971 211 0
3431 5908 1
2491 2965 0
6004 156 1
2619 2902 0
7725 3138 1
1282 3091 0
4755 3314 1
994 7226 0
5255 1844 1
8238 2514 0
9205 7114 1
3428 3807 0
3627 4405 1
453 6849 0
9382 9684 1
8477 4112 0
5523 2787 1
6132 9388 0
5739 3020 1
6186 1753 0
5428 9863 1
8838 4343 0
2668 318 1
8452 6893 0
564 6954 1
7955 250 0
6325 4502 1
166 7904 0
4124 8666 1
8227 2528 0
2596 8006 1
661 2162 0
8317 5985 1
4134 133 0
8358 6526 1
1606 7645 0
8796 7549 1
7700 4510 0
9937 2839 1
1428 7004 0
8004 7622 1
663 5126 0
7200 8488 1
3561 2810 0
7534 766 1
1710 2381 0
5720 4458 1
4698 5562 0
9167 3021 1
4035 6002 0
1292 2727 1
7511 8070 0
3362 1940 1
3975 4936 0
1673 9275 1
6010 4584 0
143 1877 1
3889 8726 0
8843 4547 1
8892 4357 0
3489 9267 1
249 4318 0
4898 641 1
7776 6673 0
526 8831 1
4 6497 0
8795 3028 1
4038 6814 0
5638 7230 1
3398 1837 0
8796 5100 1
8976 7667 0
6355 9122 1
2183 8298 0
1955 3473 1
9209 288 0
3245 1529 1
2081 4753 0
5206 2940 1
7000 1619 0
6724 7181 1
6074 6704 0
4545 5793 1
3687 6621 0
56 4616 1
9109 2507 0
6219 2102 1
8467 9518 0
8219 5121 1
5686 6432 0
3133 8669 1
1025 9750 0
1327 752 1
551 1382 0
8514 914 1
6349 7324 0
1439 7729 1
2712 1505 0
755 3011 1
2176 7226 0
799 6884 1
2752 4690 0
257 7697 1
4506 4588 0
8383 3949 1
2763 372 0
7696 2782 1
9548 8117 0
431 2391 1
5354 9091 0
7988 6636 1
6164 6725 0
3148 4467 1
4905 327 0
6888 8127 1
7861 3472 0
9406 1196 1
9582 1221 0
1996 5377 1
4579 2043 0
8335 8518 1
5452 3788 0
5602 8003 1
4262 6781 0
7352 786 1
8522 3313 0
6255 737 1
6668 7223 0
1639 3791 1
3756 5514 0
7127 9079 1
9224 6855 0
6847 2094 1
2073 5828 0
5170 132 1
3489 2297 0
2468 2354 1
7727 2599 0
1378 9214 1
7459 6815 0
6401 7213 1
1485 4948 0
6841 4679 1
7461 4084 0
6066 4665 1
9012 9976 0
9119 9106 1
7602 1738 0
8152 3193 1
1023 782 0
8303 2697 1
6093 2689 0
4375 7713 1
1110 7445 0
4866 9103 1
5482 8943 0
4159 6536 1
8027 5584 0
2951 8335 1
2467 2975 0
2565 9144 1
9552 6012 0
9226 2846 1
9916 4320 0
6778 6882 1
5066 1641 0
4105 1610 1
7109 3068 0
4770 8079 1
7329 3617 0
6142 4184 1
714 2204 0
9183 6290 1
2553 7967 0
5543 7681 1
8846 1744 0
9107 4325 1
2857 1388 0
1453 923 1
3660 4920 0
3734 315 1
7820 6545 0
1455 8649 1
3441 6144 0
504 1649 1
